code,link
AALI,https://query1.finance.yahoo.com/v7/finance/download/AALI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ABBA,https://query1.finance.yahoo.com/v7/finance/download/ABBA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ABDA,https://query1.finance.yahoo.com/v7/finance/download/ABDA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ABMM,https://query1.finance.yahoo.com/v7/finance/download/ABMM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ACES,https://query1.finance.yahoo.com/v7/finance/download/ACES.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ACST,https://query1.finance.yahoo.com/v7/finance/download/ACST.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ADES,https://query1.finance.yahoo.com/v7/finance/download/ADES.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ADHI,https://query1.finance.yahoo.com/v7/finance/download/ADHI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ADMF,https://query1.finance.yahoo.com/v7/finance/download/ADMF.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ADMG,https://query1.finance.yahoo.com/v7/finance/download/ADMG.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ADRO,https://query1.finance.yahoo.com/v7/finance/download/ADRO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AGII,https://query1.finance.yahoo.com/v7/finance/download/AGII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AGRO,https://query1.finance.yahoo.com/v7/finance/download/AGRO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AGRO-W,https://query1.finance.yahoo.com/v7/finance/download/AGRO-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AGRS,https://query1.finance.yahoo.com/v7/finance/download/AGRS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AHAP,https://query1.finance.yahoo.com/v7/finance/download/AHAP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AIMS,https://query1.finance.yahoo.com/v7/finance/download/AIMS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AISA,https://query1.finance.yahoo.com/v7/finance/download/AISA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AKKU,https://query1.finance.yahoo.com/v7/finance/download/AKKU.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AKPI,https://query1.finance.yahoo.com/v7/finance/download/AKPI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AKRA,https://query1.finance.yahoo.com/v7/finance/download/AKRA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AKSI,https://query1.finance.yahoo.com/v7/finance/download/AKSI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ALDO,https://query1.finance.yahoo.com/v7/finance/download/ALDO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ALKA,https://query1.finance.yahoo.com/v7/finance/download/ALKA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ALMI,https://query1.finance.yahoo.com/v7/finance/download/ALMI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ALTO,https://query1.finance.yahoo.com/v7/finance/download/ALTO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AMAG,https://query1.finance.yahoo.com/v7/finance/download/AMAG.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AMFG,https://query1.finance.yahoo.com/v7/finance/download/AMFG.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AMIN,https://query1.finance.yahoo.com/v7/finance/download/AMIN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AMRT,https://query1.finance.yahoo.com/v7/finance/download/AMRT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ANJT,https://query1.finance.yahoo.com/v7/finance/download/ANJT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ANTM,https://query1.finance.yahoo.com/v7/finance/download/ANTM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APEX,https://query1.finance.yahoo.com/v7/finance/download/APEX.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APIC,https://query1.finance.yahoo.com/v7/finance/download/APIC.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APIC-W,https://query1.finance.yahoo.com/v7/finance/download/APIC-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APII,https://query1.finance.yahoo.com/v7/finance/download/APII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APLI,https://query1.finance.yahoo.com/v7/finance/download/APLI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APLN,https://query1.finance.yahoo.com/v7/finance/download/APLN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
APOL,https://query1.finance.yahoo.com/v7/finance/download/APOL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARGO,https://query1.finance.yahoo.com/v7/finance/download/ARGO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARII,https://query1.finance.yahoo.com/v7/finance/download/ARII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARMY,https://query1.finance.yahoo.com/v7/finance/download/ARMY.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARNA,https://query1.finance.yahoo.com/v7/finance/download/ARNA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARTA,https://query1.finance.yahoo.com/v7/finance/download/ARTA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARTI,https://query1.finance.yahoo.com/v7/finance/download/ARTI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ARTO,https://query1.finance.yahoo.com/v7/finance/download/ARTO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASBI,https://query1.finance.yahoo.com/v7/finance/download/ASBI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASDM,https://query1.finance.yahoo.com/v7/finance/download/ASDM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASGR,https://query1.finance.yahoo.com/v7/finance/download/ASGR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASIA,https://query1.finance.yahoo.com/v7/finance/download/ASIA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASII,https://query1.finance.yahoo.com/v7/finance/download/ASII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASJT,https://query1.finance.yahoo.com/v7/finance/download/ASJT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASMI,https://query1.finance.yahoo.com/v7/finance/download/ASMI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASRI,https://query1.finance.yahoo.com/v7/finance/download/ASRI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASRM,https://query1.finance.yahoo.com/v7/finance/download/ASRM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ASSA,https://query1.finance.yahoo.com/v7/finance/download/ASSA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ATIC,https://query1.finance.yahoo.com/v7/finance/download/ATIC.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
ATPK,https://query1.finance.yahoo.com/v7/finance/download/ATPK.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
AUTO,https://query1.finance.yahoo.com/v7/finance/download/AUTO.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BABP,https://query1.finance.yahoo.com/v7/finance/download/BABP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BABP-W2,https://query1.finance.yahoo.com/v7/finance/download/BABP-W2.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BACA,https://query1.finance.yahoo.com/v7/finance/download/BACA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BACA-W,https://query1.finance.yahoo.com/v7/finance/download/BACA-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BACA-W2,https://query1.finance.yahoo.com/v7/finance/download/BACA-W2.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BAEK,https://query1.finance.yahoo.com/v7/finance/download/BAEK.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BAJA,https://query1.finance.yahoo.com/v7/finance/download/BAJA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BALI,https://query1.finance.yahoo.com/v7/finance/download/BALI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BALI-W,https://query1.finance.yahoo.com/v7/finance/download/BALI-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BAPA,https://query1.finance.yahoo.com/v7/finance/download/BAPA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BATA,https://query1.finance.yahoo.com/v7/finance/download/BATA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BAYU,https://query1.finance.yahoo.com/v7/finance/download/BAYU.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBCA,https://query1.finance.yahoo.com/v7/finance/download/BBCA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBHI,https://query1.finance.yahoo.com/v7/finance/download/BBHI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBKP,https://query1.finance.yahoo.com/v7/finance/download/BBKP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBLD,https://query1.finance.yahoo.com/v7/finance/download/BBLD.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBMD,https://query1.finance.yahoo.com/v7/finance/download/BBMD.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBNI,https://query1.finance.yahoo.com/v7/finance/download/BBNI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBNP,https://query1.finance.yahoo.com/v7/finance/download/BBNP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBRI,https://query1.finance.yahoo.com/v7/finance/download/BBRI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBRM,https://query1.finance.yahoo.com/v7/finance/download/BBRM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBTN,https://query1.finance.yahoo.com/v7/finance/download/BBTN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBYB,https://query1.finance.yahoo.com/v7/finance/download/BBYB.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BBYB-W,https://query1.finance.yahoo.com/v7/finance/download/BBYB-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BCAP,https://query1.finance.yahoo.com/v7/finance/download/BCAP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BCIC,https://query1.finance.yahoo.com/v7/finance/download/BCIC.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BCIP,https://query1.finance.yahoo.com/v7/finance/download/BCIP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BDMN,https://query1.finance.yahoo.com/v7/finance/download/BDMN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BEKS,https://query1.finance.yahoo.com/v7/finance/download/BEKS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BELL,https://query1.finance.yahoo.com/v7/finance/download/BELL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BEST,https://query1.finance.yahoo.com/v7/finance/download/BEST.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BFIN,https://query1.finance.yahoo.com/v7/finance/download/BFIN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BGTG,https://query1.finance.yahoo.com/v7/finance/download/BGTG.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BHIT,https://query1.finance.yahoo.com/v7/finance/download/BHIT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIKA,https://query1.finance.yahoo.com/v7/finance/download/BIKA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIMA,https://query1.finance.yahoo.com/v7/finance/download/BIMA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BINA,https://query1.finance.yahoo.com/v7/finance/download/BINA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIPI,https://query1.finance.yahoo.com/v7/finance/download/BIPI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIPP,https://query1.finance.yahoo.com/v7/finance/download/BIPP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIPP-W,https://query1.finance.yahoo.com/v7/finance/download/BIPP-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIPP-W2,https://query1.finance.yahoo.com/v7/finance/download/BIPP-W2.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BIRD,https://query1.finance.yahoo.com/v7/finance/download/BIRD.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BISI,https://query1.finance.yahoo.com/v7/finance/download/BISI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BJBR,https://query1.finance.yahoo.com/v7/finance/download/BJBR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BJTM,https://query1.finance.yahoo.com/v7/finance/download/BJTM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BKDP,https://query1.finance.yahoo.com/v7/finance/download/BKDP.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BKSL,https://query1.finance.yahoo.com/v7/finance/download/BKSL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BKSL-W,https://query1.finance.yahoo.com/v7/finance/download/BKSL-W.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BKSW,https://query1.finance.yahoo.com/v7/finance/download/BKSW.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BLTA,https://query1.finance.yahoo.com/v7/finance/download/BLTA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BLTZ,https://query1.finance.yahoo.com/v7/finance/download/BLTZ.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BMAS,https://query1.finance.yahoo.com/v7/finance/download/BMAS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BMRI,https://query1.finance.yahoo.com/v7/finance/download/BMRI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BMSR,https://query1.finance.yahoo.com/v7/finance/download/BMSR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BMTR,https://query1.finance.yahoo.com/v7/finance/download/BMTR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNBA,https://query1.finance.yahoo.com/v7/finance/download/BNBA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNBR,https://query1.finance.yahoo.com/v7/finance/download/BNBR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNGA,https://query1.finance.yahoo.com/v7/finance/download/BNGA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNII,https://query1.finance.yahoo.com/v7/finance/download/BNII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BNLI,https://query1.finance.yahoo.com/v7/finance/download/BNLI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BOGA,https://query1.finance.yahoo.com/v7/finance/download/BOGA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BOLT,https://query1.finance.yahoo.com/v7/finance/download/BOLT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BORN,https://query1.finance.yahoo.com/v7/finance/download/BORN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BPFI,https://query1.finance.yahoo.com/v7/finance/download/BPFI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BPII,https://query1.finance.yahoo.com/v7/finance/download/BPII.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRAM,https://query1.finance.yahoo.com/v7/finance/download/BRAM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRAU,https://query1.finance.yahoo.com/v7/finance/download/BRAU.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRMS,https://query1.finance.yahoo.com/v7/finance/download/BRMS.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRNA,https://query1.finance.yahoo.com/v7/finance/download/BRNA.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BRPT,https://query1.finance.yahoo.com/v7/finance/download/BRPT.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSDE,https://query1.finance.yahoo.com/v7/finance/download/BSDE.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSIM,https://query1.finance.yahoo.com/v7/finance/download/BSIM.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSIM-W3,https://query1.finance.yahoo.com/v7/finance/download/BSIM-W3.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSSR,https://query1.finance.yahoo.com/v7/finance/download/BSSR.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BSWD,https://query1.finance.yahoo.com/v7/finance/download/BSWD.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTEK,https://query1.finance.yahoo.com/v7/finance/download/BTEK.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTEL,https://query1.finance.yahoo.com/v7/finance/download/BTEL.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTON,https://query1.finance.yahoo.com/v7/finance/download/BTON.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BTPN,https://query1.finance.yahoo.com/v7/finance/download/BTPN.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
BUDI,https://query1.finance.yahoo.com/v7/finance/download/BUDI.JK?period1=1514739600&period2=1527181200&interval=1d&events=history&crumb=uGMY0JmMIQu
